cohort allele allele_count all_alleles_count
11 4 27 126187
11 4 28 131025
11 4 29 123211
11 4 30 103660
11 4 31 78811
11 4 32 54339
11 4 33 33790
11 4 34 18904
11 4 35 9536
11 4 36 4297
11 4 37 1713
11 4 38 620
11 4 39 165
11 4 40 54
11 4 41 17
11 4 42 4
11 5 1 144739
11 5 2 228005
11 5 3 228514
11 5 4 179108
11 5 5 108333
11 5 6 48836
11 5 7 17730
11 5 8 4505
11 5 9 491
11 6 10 244
11 6 11 2854
11 6 12 16037
11 6 13 53706
11 6 14 120923
11 6 15 193837
11 6 16 224817
11 6 17 193663
11 6 18 120970
11 6 19 53597
11 6 20 16164
11 6 21 2944
11 6 22 244
11 7 7 18
11 7 8 258
11 7 9 1786
11 7 10 8525
11 7 11 27928
11 7 12 66511
11 7 13 122318
11 7 14 174444
11 7 15 196820
11 7 16 174749
11 7 17 121695
11 7 18 66634
11 7 19 27747
11 7 20 8481
11 7 21 1816
11 7 22 251
11 7 23 19
11 8 6 1980
11 8 7 17708
11 8 8 70157
11 8 9 163978
11 8 10 246433
11 8 11 245504
11 8 12 164025
11 8 13 70746
11 8 14 17595
11 8 15 1874
11 9 21 484
11 9 22 5243
11 9 23 26805
11 9 24 80610
11 9 25 161423
11 9 26 225315
11 9 27 225707
11 9 28 160963
11 9 29 80513
11 9 30 27008
11 9 31 5443
11 9 32 486
11 10 8 1000000
11 11 4 31551
11 11 5 156298
11 11 6 312159
11 11 7 312750
11 11 8 155973
11 11 9 31269
11 12 15 124829
11 12 16 374427
11 12 17 376014
11 12 18 124730
11 13 15 62580
11 13 16 249177
11 13 17 375531
11 13 18 250359
11 13 19 62353
11 14 9 1000000
11 15 26 1000000
11 16 21 124965
11 16 22 375434
11 16 23 375104
11 16 24 124497
11 17 34 1000000
11 18 2 1000000
11 19 8 1000000
11 20 1 1000000
12 0 14 1
12 0 325 1
12 1 25 1
12 1 175 1
12 1 177 3
12 1 179 6
12 1 180 1
12 1 181 6
12 1 182 26
12 1 183 34
12 1 184 65
12 1 185 100
12 1 186 145
12 1 187 267
12 1 188 389
12 1 189 627
12 1 190 963
12 1 191 1292
12 1 192 1928
12 1 193 2830
12 1 194 3835
12 1 195 5220
12 1 196 7134
12 1 197 9151
12 1 198 11591
12 1 199 14600
12 1 200 18051
12 1 201 21557
12 1 202 26103
12 1 203 30105
12 1 204 34823
12 1 205 39217
12 1 206 43079
12 1 207 46259
12 1 208 49423
12 1 209 51993
12 1 210 53067
12 1 211 53624
12 1 212 53458
12 1 213 51446
12 1 214 48859
12 1 215 46053
12 1 216 42933
12 1 217 38690
12 1 218 34611
12 1 219 30061
12 1 220 25898
12 1 221 21824
12 1 222 18026
12 1 223 14437
12 1 224 11612
12 1 225 9161
12 1 226 6986
12 1 227 5214
12 1 228 3959
12 1 229 2901
12 1 230 2038
12 1 231 1437
12 1 232 972
12 1 233 723
12 1 234 438
12 1 235 284
12 1 236 190
12 1 237 104
12 1 238 68
12 1 239 50
12 1 240 26
12 1 241 16
12 1 242 3
12 1 243 3
12 1 244 1
12 1 245 1
12 1 246 1
12 2 8 2
12 2 9 1
12 2 10 8
12 2 11 40
12 2 12 142
12 2 13 476
12 2 14 1268
12 2 15 2928
12 2 16 5909
12 2 17 10892
12 2 18 18413
12 2 19 29107
12 2 20 41573
12 2 21 54644
12 2 22 67798
12 2 23 78306
12 2 24 85385
12 2 25 87980
12 2 26 86863
12 2 27 81321
12 2 28 74060
12 2 29 64838
12 2 30 53856
12 2 31 43464
12 2 32 33883
12 2 33 25275
12 2 34 18264
12 2 35 12647
12 2 36 8417
12 2 37 5350
12 2 38 3141
12 2 39 1818
12 2 40 977
12 2 41 506
12 2 42 263
12 2 43 111
12 2 44 47
12 2 45 23
12 2 46 3
12 2 47 1
12 3 4 1
12 3 9 1
12 3 10 1
12 3 11 26
12 3 12 91
12 3 13 272
12 3 14 731
12 3 15 1824
12 3 16 3896
12 3 17 8094
12 3 18 14779
12 3 19 24588
12 3 20 37766
12 3 21 53420
12 3 22 69347
12 3 23 83975
12 3 24 95181
12 3 25 101324
12 3 26 100639
12 3 27 93478
12 3 28 81953
12 3 29 67505
12 3 30 52655
12 3 31 39029
12 3 32 26792
12 3 33 17832
12 3 34 11016
12 3 35 6456
12 3 36 3693
12 3 37 1886
12 3 38 979
12 3 39 413
12 3 40 213
12 3 41 87
12 3 42 35
12 3 43 15
12 3 44 7
12 4 16 1
12 4 17 1
12 4 18 2
12 4 19 16
12 4 20 59
12 4 21 261
12 4 22 735
12 4 23 1979
12 4 24 4753
12 4 25 10233
12 4 26 19104
12 4 27 32548
12 4 28 49932
12 4 29 69640
12 4 30 88809
12 4 31 104115
12 4 32 111312
12 4 33 110980
12 4 34 101707
12 4 35 87004
12 4 36 68636
12 4 37 51152
12 4 38 35571
12 4 39 22701
12 4 40 13601
12 4 41 7594
12 4 42 3979
12 4 43 1993
12 4 44 943
12 4 45 416
12 4 46 156
12 4 47 45
12 4 48 12
12 4 49 8
12 4 50 2
12 5 1 7057
12 5 2 29024
12 5 3 73556
12 5 4 128527
12 5 5 170504
12 5 6 178938
12 5 7 155256
12 5 8 114003
12 5 9 72165
12 5 10 39787
12 5 11 18952
12 5 12 7705
12 5 13 2722
12 5 14 819
12 5 15 175
12 5 16 37
12 5 17 5
12 6 6 7
12 6 7 58
12 6 8 598
12 6 9 3060
12 6 10 11727
12 6 11 32863
12 6 12 70214
12 6 13 121636
12 6 14 167203
12 6 15 185146
12 6 16 166754
12 6 17 121615
12 6 18 71071
12 6 19 32487
12 6 20 11764
12 6 21 3133
12 6 22 579
12 6 23 78
12 6 24 7
12 7 20 1
12 7 21 1
12 7 22 4
12 7 23 24
