cohort allele allele_count all_alleles_count
12 4 45 19012
12 4 46 9902
12 4 47 4370
12 4 48 1700
12 4 49 550
12 4 50 124
12 4 51 28
12 4 52 4
12 4 53 1
12 5 1 125143
12 5 2 186811
12 5 3 155706
12 5 4 156686
12 5 5 187853
12 5 6 125031
12 5 7 31509
12 6 6 1
12 6 8 256
12 6 9 2985
12 6 10 16060
12 6 11 53101
12 6 12 120894
12 6 13 193928
12 6 14 225216
12 6 15 193789
12 6 16 120800
12 6 17 53723
12 6 18 16012
12 6 19 2952
12 6 20 283
12 7 9 63
12 7 10 866
12 7 11 5325
12 7 12 19784
12 7 13 52535
12 7 14 102520
12 7 15 151996
12 7 16 178355
12 7 17 171700
12 7 18 136391
12 7 19 91628
12 7 20 51613
12 7 21 24719
12 7 22 9387
12 7 23 2479
12 7 24 555
12 7 25 81
12 7 26 3
12 8 12 1
12 8 20 32
12 8 21 463
12 8 22 3222
12 8 23 13866
12 8 24 41848
12 8 25 90973
12 8 26 152864
12 8 27 197273
12 8 28 196823
12 8 29 152144
12 8 30 91410
12 8 31 41484
12 8 32 14018
12 8 33 3131
12 8 34 419
12 8 35 29
12 9 10 954
12 9 11 9552
12 9 12 43839
12 9 13 117829
12 9 14 204869
12 9 15 245467
12 9 16 205801
12 9 17 116884
12 9 18 44216
12 9 19 9596
12 9 20 993
12 10 4 31373
12 10 5 155721
12 10 6 313067
12 10 7 313059
12 10 8 155638
12 10 9 31142
12 11 4 62487
12 11 5 250617
12 11 6 374192
12 11 7 250038
12 11 8 62666
12 12 14 15832
12 12 15 93445
12 12 16 234210
12 12 17 312991
12 12 18 234478
12 12 19 93716
12 12 20 15328
12 13 17 62783
12 13 18 249841
12 13 19 375252
12 13 20 249445
12 13 21 62679
12 14 6 249863
12 14 7 500427
12 14 8 249710
12 15 15 15426
12 15 16 93686
12 15 17 234302
12 15 18 313883
12 15 19 234037
12 15 20 93205
12 15 21 15461
12 16 21 1000000
12 17 20 1000000
12 18 4 1000000
12 19 18 124884
12 19 19 375028
12 19 20 374997
12 19 21 125091
12 20 25 1000000
12 21 11 1000000
12 22 8 1000000
12 23 4 1000000
13 0 168 1
13 1 13 1
13 1 82 1
13 1 83 1
13 1 84 7
13 1 85 10
13 1 86 31
13 1 87 56
13 1 88 159
13 1 89 337
13 1 90 745
13 1 91 1441
13 1 92 2508
13 1 93 4479
13 1 94 7281
13 1 95 11761
13 1 96 17875
13 1 97 25542
13 1 98 34569
13 1 99 45225
13 1 100 56487
13 1 101 67110
13 1 102 75831
13 1 103 82774
13 1 104 86095
13 1 105 85314
13 1 106 80727
13 1 107 72610
13 1 108 62649
13 1 109 51160
13 1 110 40584
13 1 111 29764
13 1 112 21221
13 1 113 14343
13 1 114 9282
13 1 115 5537
13 1 116 3189
13 1 117 1706
13 1 118 844
13 1 119 427
13 1 120 199
13 1 121 66
13 1 122 38
13 1 123 11
13 1 124 2
13 1 126 1
13 2 8 1
13 2 12 117
13 2 13 1574
13 2 14 8993
13 2 15 30962
13 2 16 74872
13 2 17 130298
13 2 18 173709
13 2 19 183521
13 2 20 158857
13 2 21 113886
13 2 22 69396
13 2 23 34537
13 2 24 14016
13 2 25 4219
13 2 26 909
13 2 27 127
13 2 28 6
13 3 1 1856
13 3 2 10726
13 3 3 38232
13 3 4 90897
13 3 5 158211
13 3 6 204024
13 3 7 201649
13 3 8 151375
13 3 9 87913
13 3 10 38901
13 3 11 12636
13 3 12 2979
13 3 13 456
13 3 14 24
13 4 13 1
13 4 18 2
13 4 19 33
13 4 20 100
13 4 21 327
13 4 22 970
13 4 23 2577
13 4 24 5915
13 4 25 11762
13 4 26 21215
13 4 27 34533
13 4 28 51664
13 4 29 70419
13 4 30 88174
13 4 31 103105
13 4 32 110769
13 4 33 110322
13 4 34 101837
13 4 35 87575
13 4 36 69425
13 4 37 50999
13 4 38 34046
13 4 39 21237
13 4 40 12055
13 4 41 6205
13 4 42 2914
13 4 43 1173
13 4 44 436
13 4 45 152
13 4 46 44
13 4 47 11
13 4 48 2
13 4 49 1
13 5 1 76135
13 5 2 152044
13 5 3 207275
13 5 4 218608
13 5 5 172258
13 5 6 97852
13 5 7 42902
13 5 8 13740
13 5 9 1915
13 6 3 1
13 6 7 3913
13 6 8 30970
13 6 9 108921
13 6 10 218688
13 6 11 273821
13 6 12 218681
13 6 13 109912
13 6 14 31166
13 6 15 3927
13 7 4 1867
13 7 5 15313
13 7 6 56487
13 7 7 125364
13 7 8 191326
13 7 9 219018
13 7 10 191695
13 7 11 124969
13 7 12 56255
13 7 13 15741
13 7 14 1965
13 8 7 1
13 8 13 7759
13 8 14 54435
13 8 15 164268
13 8 16 273367
13 8 17 273685
13 8 18 164138
13 8 19 54515
13 8 20 7832
13 9 5 28
13 9 6 469
13 9 7 3319
13 9 8 13936
13 9 9 41484
13 9 10 91869
13 9 11 152463
13 9 12 196174
13 9 13 196871
13 9 14 152344
13 9 15 91767
13 9 16 41748
13 9 17 13827
13 9 18 3230
13 9 19 446
13 9 20 25
13 10 4 1
13 10 7 125151
13 10 8 374587
13 10 9 374949
13 10 10 125312
13 11 1 500112
13 12 13 7865
13 12 14 54635
13 12 15 163695
13 12 16 274041
13 12 17 272573
13 12 18 164377
13 12 19 55029
13 12 20 7785
13 13 4 1000000
13 14 4 1000000
13 15 12 15539
13 15 13 93733
13 15 14 235071
13 15 15 312740
13 15 16 233400
13 15 17 94039
13 15 18 15478
13 16 7 1
13 16 9 999999
13 17 8 1000000
13 18 6 1000000
13 19 4 499615
13 19 5 500385
13 20 6 1000000
13 21 6 250353
13 21 7 499749
13 21 8 249898
13 23 1 1000000
13 24 1 1000000
14 0 2 1
14 0 64 1
14 1 118 1
14 1 134 1
14 1 135 2
14 1 136 2
14 1 137 6
14 1 138 23
14 1 139 22
14 1 140 48
14 1 141 96
14 1 142 154
14 1 143 310
14 1 144 468
14 1 145 827
14 1 146 1242
14 1 147 1936
14 1 148 2989
14 1 149 4376
14 1 150 6328
14 1 151 8632
14 1 152 11770
14 1 153 15784
14 1 154 20015
14 1 155 25367
14 1 156 31285
14 1 157 37364
14 1 158 43200
14 1 159 49467
14 1 160 54109
14 1 161 58846
14 1 162 62226
14 1 163 63390
14 1 164 63136
14 1 165 62180
14 1 166 58391
14 1 167 54431
14 1 168 49356
14 1 169 43289
14 1 170 37303
14 1 171 31431
14 1 172 25530
14 1 173 20130
14 1 174 15558
14 1 175 11882
14 1 176 8746
14 1 177 6232
14 1 178 4413
14 1 179 2831
14 1 180 1883
14 1 181 1192
14 1 182 769
14 1 183 453
14 1 184 265
14 1 185 130
14 1 186 99
14 1 187 33
14 1 188 29
14 1 189 9
14 1 190 6
14 1 191 3
14 1 192 3
14 1 193 1
14 2 5 1
14 2 6 1
14 2 7 25
14 2 8 144
14 2 9 507
14 2 10 1399
14 2 11 3581
14 2 12 7790
14 2 13 15348
14 2 14 26658
14 2 15 42470
14 2 16 61206
14 2 17 80632
14 2 18 97519
14 2 19 108938
14 2 20 112389
14 2 21 107846
14 2 22 95696
14 2 23 79131
14 2 24 59803
14 2 25 41463
14 2 26 26597
14 2 27 15611
14 2 28 8451
14 2 29 3988
14 2 30 1800
14 2 31 660
14 2 32 245
14 2 33 69
14 2 34 26
14 2 35 4
14 2 36 1
14 2 37 1
14 3 1 2789
14 3 2 12537
14 3 3 36393
14 3 4 73692
14 3 5 117089
14 3 6 150259
14 3 7 160925
14 3 8 148661
14 3 9 118286
14 3 10 83552
14 3 11 51965
14 3 12 26893
14 3 13 11705
14 3 14 3843
14 3 15 959
14 3 16 173
14 3 17 24
14 3 18 1
14 4 29 5
14 4 30 16
14 4 31 79
14 4 32 161
14 4 33 387
14 4 34 909
14 4 35 1869
14 4 36 3513
14 4 37 6536
14 4 38 10925
14 4 39 17439
14 4 40 25881
14 4 41 36298
14 4 42 48477
14 4 43 61330
14 4 44 73276
14 4 45 82749
14 4 46 88733
14 4 47 89901
14 4 48 87464
14 4 49 81278
14 4 50 71298
14 4 51 59251
14 4 52 46958
14 4 53 35694
14 4 54 25500
14 4 55 17526
14 4 56 11213
14 4 57 6892
14 4 58 4004
14 4 59 2249
14 4 60 1155
14 4 61 596
14 4 62 244
14 4 63 125
14 4 64 41
14 4 65 23
14 4 66 4
14 4 67 1
14 5 1 4480
14 5 2 18271
14 5 3 48100
14 5 4 91477
14 5 5 137695
14 5 6 166920
14 5 7 168585
14 5 8 143765
14 5 9 103294
14 5 10 62830
14 5 11 32969
14 5 12 14031
14 5 13 5229
14 5 14 1470
14 5 15 301
14 5 16 58
14 6 9 14697
14 6 10 83753
14 6 11 205099
14 6 12 279598
14 6 13 233655
14 6 14 127204
14 6 15 45268
14 6 16 9743
14 6 17 983
14 7 4 258
14 7 5 2560
14 7 6 11174
14 7 7 29818
14 7 8 59123
14 7 9 93050
14 7 10 123783
14 7 11 145002
14 7 12 148041
14 7 13 134394
14 7 14 107213
14 7 15 73826
14 7 16 42170
14 7 17 19653
14 7 18 7488
14 7 19 2064
14 7 20 340
14 7 21 43
14 8 8 124747
14 8 9 375637
14 8 10 374902
14 8 11 124714
14 9 7 11
14 9 8 78
14 9 9 457
14 9 10 1916
14 9 11 6533
14 9 12 16584
14 9 13 35911
14 9 14 65261
14 9 15 99004
14 9 16 130203
14 9 17 147575
14 9 18 146197
14 9 19 126979
14 9 20 95924
14 9 21 62977
14 9 22 35670
14 9 23 17692
14 9 24 7382
14 9 25 2631
14 9 26 763
14 9 27 214
14 9 28 35
14 9 29 3
14 10 6 124966
14 10 7 374829
