Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
1453-39013	NA	N	NA	Y
1453-39015	NA	N	NA	Y
1453-39020	NA	N	NA	Y
1453-39023	NA	N	NA	Y
1453-39024	NA	N	NA	Y
1453-39027	NA	N	NA	Y
1453-39028	NA	N	NA	Y
1453-39029	NA	N	NA	Y
1453-39038	1991	Y	NA	N
1453-39039	1991	Y	NA	N
1453-39041	NA	N	NA	Y
1453-39042	1991	Y	NA	N
1453-39043	1991	Y	NA	N
1453-39052	1991	N	NA	N
1453-39053	1991	N	NA	N
1453-39054	1991	N	NA	N
1453-39059	1991	Y	NA	N
1453-39060	1991	Y	NA	N
1453-39061	1991	Y	NA	N
1453-39062	1991	Y	NA	N
1453-39070	NA	N	NA	Y
1453-39078	1991	Y	NA	Y
1453-39079	1991	Y	NA	N
1453-39080	1991	Y	NA	N
1453-39081	1991	Y	NA	N
1453-39099	1991	Y	NA	N
1453-39100	1991	Y	NA	N
1453-39101	1991	Y	NA	N
1453-39105	1991	Y	NA	Y
1453-39106	1991	Y	NA	N
1453-39111	1991	Y	NA	N
1453-39112	1991	Y	NA	N
1453-39113	1991	Y	NA	N
1453-39114	1991	Y	NA	Y
1453-39115	1991	Y	NA	N
1453-39116	1991	Y	NA	N
1453-39117	1991	Y	NA	N
1453-39118	1991	Y	NA	N
1453-39119	1991	Y	NA	N
1453-39120	1991	Y	NA	N
1453-39121	1991	Y	NA	N
1453-39122	1991	Y	NA	N
1453-39131	NA	N	NA	Y
1453-39137	1991	Y	NA	N
1453-39138	1991	Y	NA	N
1453-39145	1991	N	NA	N
1453-39146	1991	N	NA	N
1453-39147	1991	N	NA	N
1453-39148	1991	N	NA	N
1453-39149	1991	N	NA	N
1453-39150	1991	N	NA	N
1453-39151	1991	N	NA	N
1453-39152	1991	N	NA	N
1453-39153	1991	N	NA	N
1453-39154	1991	N	NA	N
1453-39157	1991	N	NA	N
1453-39158	1991	N	NA	N
1453-39159	1991	N	NA	N
1453-39160	NA	N	NA	Y
1453-39163	NA	N	NA	Y
1453-39168	1991	Y	NA	N
1453-39169	1991	Y	NA	N
1453-39170	1991	Y	NA	N
1453-39174	1991	N	NA	Y
1453-39175	1991	N	NA	N
1453-39176	1991	N	NA	N
1453-39177	1991	N	NA	Y
1453-39178	1991	N	NA	N
1453-39179	1991	N	NA	N
1453-39182	1991	N	NA	N
1453-39183	1991	N	NA	Y
1453-39187	1991	N	NA	N
1453-39188	1991	N	NA	N
1453-39189	1991	N	NA	N
1453-39191	1991	N	NA	Y
1453-39192	1991	N	NA	Y
1453-39195	1991	N	NA	N
1453-57401	1992	Y	NA	N
1453-57402	1992	Y	NA	N
1453-57403	1992	Y	NA	N
1453-57404	NA	N	1991	Y
