Indiv Status
1063-43570 0
1063-43571 0
1063-43572 0
1063-43573 0
1063-43574 1
1063-43575 0
1063-43576 0
1063-43577 0
1063-43578 0
1063-43579 0
1063-43580 0
1063-43581 0
1063-43582 0
1063-43583 0
1063-43584 1
1063-43585 0
1063-43586 0
1063-43587 0
1063-43588 0
1063-43589 0
1063-43590 0
1063-43591 0
1063-43592 0
1063-43593 0
1063-43594 0
1063-43595 0
1063-43596 0
1063-43597 0
1063-43598 0
1063-43599 0
1063-43600 0
1063-43754 0
1063-48543 1
1063-48601 0
1063-48602 0
1063-48603 0
1063-48604 0
1063-48605 0
1063-48606 0
1063-48607 0
1063-48608 0
1063-48609 0
1063-48610 0
1063-48611 0
1063-48612 0
1063-48613 0
1063-48614 0
1063-48615 0
1063-48616 0
1063-48617 0
1063-48618 0
1063-48619 0
1063-48620 0
1063-48621 0
1063-48622 0
1063-48623 0
1063-48624 0
1063-48625 0
1063-48626 0
1063-48627 0
1063-48628 0
1063-48629 0
1063-48630 0
1063-48631 0
1063-48632 0
1063-48633 0
1063-48634 0
1063-48635 0
1063-48636 0
1063-48637 0
1063-48638 0
1063-48639 0
1063-48640 0
1063-48641 0
1063-48642 0
1063-48643 0
1063-48644 0
1063-48645 0
1063-48646 0
1063-48647 0
1063-48648 0
1063-48649 0
1063-48650 0
1063-48651 0
1063-48652 0
1063-48653 0
1063-48654 0
1063-48655 0
1063-48656 0
1063-48657 0
1063-48658 0
1063-48659 0
1063-48660 0
1063-48661 0
1063-48662 0
1063-48663 0
1063-48664 0
1063-48665 0
1063-48666 0
1063-48667 0
1063-48668 0
1063-48669 0
1063-48670 0
1063-48671 0
1063-48672 0
1063-48673 0
1063-48674 0
1063-48675 0
1063-48676 0
1063-48677 0
1063-48678 0
1063-48679 0
1063-48680 0
1063-48681 0
1063-48682 0
1063-48683 0
1063-48684 0
1063-48685 0
1063-48686 0
1063-48687 0
1063-48688 0
1063-48689 0
1063-48690 0
1063-48691 0
1063-48692 0
1063-48693 0
1063-48694 0
1063-48695 0
1063-48696 0
1063-48697 0
1063-48698 0
1063-48699 0
1063-48700 0
1063-48901 0
1063-48902 0
1063-48903 0
1063-48904 0
1063-48905 0
1063-48906 0
1063-48907 0
1063-48908 0
1063-48909 0
1063-48910 0
1063-48911 0
1063-48912 0
1063-48913 0
1063-48914 0
1063-48915 0
1063-48916 0
1063-48917 0
1063-48918 0
1063-48919 0
1063-48920 0
1063-48921 0
1063-48922 0
1063-48923 0
1063-48924 0
1063-48925 0
1063-48926 0
1063-48927 0
1063-48928 0
1063-48929 0
1063-48930 0
1063-48931 0
1063-48932 0
1063-48933 0
1063-48934 0
1063-48935 0
1063-48936 0
1063-48937 0
1063-48938 0
1063-48939 0
1063-48940 0
1063-48941 0
1063-48942 0
1063-48943 0
1063-48944 0
1063-48945 0
1063-48946 0
1063-48947 0
1063-48948 0
1063-48949 0
1063-48950 0
1063-48951 0
1063-48952 0
1063-48953 0
1063-48954 0
1063-48955 0
1063-48956 0
1063-48957 0
1063-48958 0
1063-48959 0
1063-48960 0
1063-48961 0
1063-48962 0
1063-48963 0
1063-48964 0
1063-48965 0
1063-48966 0
1063-48967 0
