Indiv NatalYear CoreNestling ImmCohort InclBr
3201 1999 N NA N
3202 1999 N NA N
3203 1999 N NA N
3204 1999 N NA N
3218 1999 Y NA N
3219 1999 Y NA Y
3220 1999 Y NA N
3227 1999 Y NA N
3235 1999 Y NA Y
3236 1999 Y NA N
3237 1999 Y NA N
3252 1999 Y NA N
3253 1999 Y NA N
3261 1999 Y NA Y
3262 1999 Y NA Y
3268 NA N 1999 Y
3273 NA N 1999 Y
3274 NA N 1999 Y
3276 NA N 1998 Y
3279 NA N 1998 Y
3280 NA N 1998 Y
3281 NA N 1999 Y
3288 NA N 1998 Y
6915 NA N 1997 N
3306 NA N 1999 N
3307 1991 Y NA Y
3310 NA N 1997 Y
3311 1999 N NA N
3312 1999 N NA N
3313 1999 N NA N
3328 1999 N NA N
3329 1999 N NA N
3330 1999 N NA N
3331 1999 N NA N
3332 1999 N NA Y
3333 1999 N NA N
3334 1999 N NA N
3335 1999 N NA N
3336 1999 N NA N
3337 1999 N NA N
3342 1999 N NA N
3343 1999 N NA Y
3345 1999 N NA N
3346 1999 N NA N
3349 1999 N NA N
3350 1999 N NA N
3351 1999 N NA N
3352 1999 N NA N
3353 1999 N NA N
3354 1999 N NA N
3355 1999 N NA N
3364 1999 N NA N
3365 1999 N NA N
3366 1999 N NA N
3368 NA N 1997 Y
3370 1999 N NA N
3372 NA N 1998 Y
3373 NA N 1998 Y
3374 NA N 1998 Y
3375 NA N 1998 Y
3376 NA N 1999 Y
3377 NA N 1998 Y
3378 NA N 1998 Y
3383 NA N 1998 Y
3384 NA N 1998 Y
3385 2000 N NA N
3386 NA N 1998 Y
3387 2000 N NA Y
3388 2000 N NA N
3389 2000 N NA N
3390 2000 N NA Y
3391 2000 N NA N
3392 2000 N NA N
3393 2000 N NA N
3394 2000 N NA Y
3399 2000 N NA N
3400 2000 N NA Y
3401 2000 N NA Y
3402 2000 N NA N
3403 2000 N NA N
3404 2000 N NA N
3407 2000 Y NA N
3408 2000 Y NA N
3409 2000 Y NA N
3414 2000 Y NA N
3415 2000 Y NA N
3416 2000 Y NA N
3417 2000 Y NA N
3426 2000 Y NA Y
3427 2000 Y NA Y
3428 2000 Y NA Y
3449 2000 Y NA N
3450 2000 Y NA N
3451 2000 Y NA N
3452 2000 Y NA Y
3453 2000 Y NA N
3457 2000 Y NA N
3458 2000 Y NA N
3459 2000 Y NA N
3493 1999 Y NA Y
3494 2000 Y NA N
3495 2000 Y NA N
3496 2000 Y NA Y
3497 2000 Y NA Y
3498 2000 Y NA Y
3500 NA N 1999 Y
3502 NA N 1999 Y
3503 NA N 1999 Y
6903 NA N 1999 Y
3505 NA N NA Y
3506 NA N 1998 Y
3515 NA N 1998 Y
3518 2000 N NA N
3519 2000 N NA N
3520 2000 N NA N
3521 2000 N NA N
3522 2000 N NA N
3523 2000 N NA N
3524 2000 N NA N
3539 2000 N NA N
3540 2000 N NA N
3541 2000 N NA N
3545 NA N 1998 Y
3555 NA N 1998 Y
3556 2000 N NA N
3557 2000 N NA N
3558 2000 N NA N
3559 2000 N NA N
3567 2000 N NA N
3568 2000 N NA N
3569 2000 N NA N
3572 2000 N NA Y
3573 2000 N NA N
3574 2000 N NA N
3578 2000 N NA N
3579 2000 N NA N
3580 2000 N NA N
3581 2000 N NA N
3584 2000 N NA N
3585 2000 N NA N
3586 2000 N NA N
3587 2000 N NA Y
3593 2000 N NA N
3594 2000 N NA N
3595 2000 N NA N
3596 2000 N NA Y
3597 2000 N NA N
3601 NA N 1998 Y
3602 NA N 1999 Y
3604 NA N NA Y
3607 2001 Y NA N
3608 2001 Y NA N
3609 2001 Y NA Y
3611 2001 Y NA N
3612 2001 Y NA N
3613 2001 Y NA N
3634 2001 Y NA N
3635 2001 Y NA N
3641 2001 Y NA N
3642 2001 Y NA N
3643 2001 Y NA Y
3649 2001 N NA N
3650 2001 N NA N
3651 2001 N NA N
3652 2001 N NA N
3658 2001 N NA N
3659 2001 N NA N
3660 2001 N NA N
3661 2001 N NA N
3663 2001 Y NA N
3685 2001 Y NA Y
3686 2001 Y NA Y
3687 2001 Y NA Y
3695 2001 Y NA N
3696 2001 Y NA Y
3697 2001 Y NA Y
3698 2001 Y NA Y
3699 2001 Y NA N
3700 2001 Y NA N
3704 2001 Y NA N
3705 2001 Y NA N
3706 2003 N NA N
3707 2003 N NA N
3708 2003 N NA N
3709 2003 N NA N
3713 2003 N NA N
3714 2003 N NA N
3723 2003 N NA N
3724 2003 N NA N
