Fam ID Dad Mom Sex Pheno
1 557 2508 3150 1 -9
1 558 128 1244 2 -9
1 559 128 1244 2 -9
1 560 128 1244 1 -9
1 561 128 1244 1 -9
1 562 312 2492 2 -9
1 563 312 2492 2 -9
1 564 312 2492 2 -9
1 565 1998 2688 2 -9
1 566 1998 2688 2 -9
1 567 1998 2688 1 -9
1 568 1998 2688 1 -9
1 569 2672 2704 2 -9
1 570 2651 347 2 -9
1 571 2651 347 1 -9
1 572 5268 296 2 -9
1 573 5268 296 2 -9
1 574 5268 296 1 -9
1 575 2788 133 2 -9
1 576 2788 133 1 -9
1 577 2788 133 2 -9
1 578 3295 2665 1 -9
1 579 2738 3502 1 -9
1 580 2738 3502 2 -9
1 581 2425 3277 2 -9
1 582 3452 3277 1 -9
1 583 3452 3277 1 -9
1 584 2027 2237 1 -9
1 585 2027 2237 2 -9
1 586 2027 2237 1 -9
206 587 0 0 2 -9
1 588 0 0 1 -9
1 589 6890 6889 2 -9
1 590 293 3097 1 -9
1 591 2185 1254 1 -9
1 592 2185 1254 2 -9
1 593 2185 1254 2 -9
1 594 778 2531 1 -9
1 595 778 2531 1 -9
1 596 778 2531 2 -9
1 597 778 2531 1 -9
1 598 2455 3268 1 -9
1 599 0 0 2 -9
1 600 0 0 2 -9
1 601 0 0 2 -9
1 602 2004 6750 0 -9
1 603 2004 6750 0 -9
1 604 1025 3274 0 -9
1 605 1025 3274 0 -9
1 606 1025 3274 0 -9
1 607 1025 3274 0 -9
1 608 1303 1271 2 -9
1 609 1303 1271 1 -9
1 610 1287 1386 0 -9
1 611 1287 1386 0 -9
1 612 1287 1386 1 -9
1 613 1287 1386 2 -9
1 614 2940 2874 0 -9
1 615 2940 2874 0 -9
1 616 2940 2874 2 -9
1 617 2940 2874 0 -9
1 618 2371 1361 0 -9
1 619 1911 2892 1 -9
1499 620 3380 3379 0 -9
1499 621 3380 3379 0 -9
1499 622 3380 3379 0 -9
1 623 3572 3374 2 -9
1 624 3572 3374 0 -9
1 625 3572 3374 0 -9
1 626 2499 1315 0 -9
1 627 2499 1315 0 -9
1 628 2499 1315 0 -9
1 629 2499 1315 0 -9
1 630 2176 3400 0 -9
1 631 2176 3400 0 -9
1 632 2176 3400 0 -9
1 633 2855 2477 0 -9
1 634 859 2843 1 -9
1 635 859 2843 0 -9
1 636 859 2843 2 -9
1 637 859 2843 0 -9
1 638 1334 5 0 -9
1 639 1334 5 0 -9
1 640 1334 5 0 -9
1 641 2857 1137 0 -9
1 642 2857 1137 0 -9
1 643 2857 1137 0 -9
1 644 2857 1137 0 -9
1 645 3543 276 1 -9
1 646 3543 276 0 -9
1 647 3543 276 0 -9
1 648 3543 276 0 -9
1 649 2120 3007 0 -9
1 650 2120 3007 0 -9
1 651 2120 3007 0 -9
376 652 1354 1144 0 -9
376 653 1354 1144 2 -9
1 654 3177 3497 0 -9
1 655 3177 3497 0 -9
1 656 3177 3497 1 -9
1 657 3156 1126 0 -9
1 658 3156 1126 0 -9
1 659 1135 1130 2 -9
1 660 1135 1130 0 -9
1 661 3560 3419 0 -9
1 662 3560 3419 0 -9
1 663 3560 3419 0 -9
1 664 1143 3498 0 -9
1 665 1143 3498 2 -9
1 666 1143 3498 0 -9
1 667 3596 2918 0 -9
1 668 3596 2918 0 -9
1 669 1314 3515 0 -9
1 670 1314 3515 0 -9
1 671 2802 3122 1 -9
1 672 2802 3122 0 -9
1 673 3190 3026 2 -9
1 674 3190 3026 1 -9
1 675 3190 3026 0 -9
1 676 3190 3026 0 -9
1 677 2357 2598 0 -9
1 678 2357 2598 2 -9
1 679 3373 1352 0 -9
1 680 3373 1352 0 -9
1 681 3373 1352 0 -9
1 682 3373 1352 0 -9
1 683 2464 3249 0 -9
1 684 2464 3249 0 -9
1 685 2464 3249 0 -9
1 686 2625 3332 1 -9
1 687 2625 3332 2 -9
1 688 1913 3064 0 -9
1 689 1913 3064 0 -9
1 690 1913 3064 2 -9
1 691 2884 3368 1 -9
1 692 1006 3368 0 -9
1 693 4335 3545 0 -9
1 694 4335 3545 0 -9
1 695 4335 3545 0 -9
1 696 2951 1379 1 -9
1 697 2951 1379 0 -9
1 698 2951 1379 0 -9
1 699 2951 1379 0 -9
1 700 2850 2542 0 -9
1 701 2455 3268 2 -9
1 702 2455 3268 2 -9
1 703 3506 2931 2 -9
1 704 3506 2931 2 -9
1 705 2047 3260 2 -9
1 706 2047 3260 2 -9
1 707 2047 3260 1 -9
1 708 2047 3260 1 -9
1 709 3206 3280 1 -9
1 710 3262 3235 2 -9
1 711 3262 3235 1 -9
1 712 2151 3500 1 -9
1 713 2151 3500 2 -9
1 714 2151 3500 1 -9
1 715 1265 6901 1 -9
1 716 3288 3276 1 -9
1 717 3288 3276 1 -9
1 718 3288 3276 2 -9
1 719 3343 2459 2 -9
1 720 3343 2459 2 -9
1 721 3343 2459 1 -9
1 722 113 509 1 -9
1 723 113 509 2 -9
1 724 113 509 2 -9
1 725 3412 2654 2 -9
1 726 3412 2654 2 -9
216 727 0 0 0 -9
1 728 2155 1443 1 -9
1 729 2155 1443 1 -9
1 730 2155 1443 1 -9
1 731 1999 67 1 -9
1 732 0 0 1 -9
1 733 0 0 1 -9
1 734 787 2731 1 -9
1 735 787 2731 1 -9
