1043-44228,2
1043-44229,1
1043-44230,2
1043-44231,2
1043-44232,1
1043-44233,1
1043-44234,1
1043-44235,2
1043-44236,2
1043-44237,1
1043-44238,2
1043-44239,2
1043-44240,2
1043-44241,1
1043-44242,2
1043-44243,2
1043-44244,2
1043-44245,1
1043-44246,2
1043-44247,2
1043-44248,2
1043-44249,1
1043-44250,1
1043-44251,2
1043-44252,1
1043-44253,1
1043-44254,2
1043-44255,1
1043-44256,2
1043-44257,2
1043-44258,1
1043-44259,2
1043-44260,1
1043-44261,2
1043-44262,2
1043-44263,2
1043-44264,1
1043-44265,1
1043-44266,1
1043-44267,1
1043-44268,2
1043-44269,1
1043-44270,2
1043-44271,1
1043-44272,2
1043-44273,2
1043-44274,1
1043-44275,2
1043-44276,1
1043-44277,1
1043-44278,2
1043-44279,1
1043-44280,1
1043-44281,1
1043-44282,2
1043-44283,1
1043-44284,2
1043-44285,2
1043-44286,2
1043-44287,2
1043-44288,1
1043-44289,1
1043-44290,2
1043-44291,1
1043-44292,1
1043-44293,2
1043-44294,2
1043-44295,1
1043-44296,1
1043-44297,1
1043-44298,2
1043-44299,2
1043-44300,1
1043-80102,2
1043-80103,2
1043-80106,2
1043-80108,1
1043-80109,2
1043-80110,2
1043-80113,2
1043-80114,2
1043-80116,2
1043-80117,1
1043-80120,1
1043-80121,2
1043-80122,2
1043-80124,2
1043-80125,1
1043-80130,2
1043-80139,1
1043-80142,1
1043-80143,1
1043-80144,1
1043-80151,1
1043-80161,1
1043-80165,2
1043-80168,2
1043-80174,2
1043-80177,1
1043-80178,2
1043-80180,1
1043-80184,1
1043-80187,2
1043-80188,1
1043-80193,2
1043-80204,2
1043-80206,1
1043-80207,2
1043-80208,1
1043-80209,1
1043-80213,2
1043-80214,2
1043-80215,2
1043-80217,1
1043-80224,2
1043-80229,2
1043-80233,1
1043-80240,1
1043-80241,2
1043-80243,1
1043-80251,2
1043-80255,2
1043-80257,2
1043-80272,2
1043-80276,1
1043-80277,1
1043-80278,2
1043-80291,1
1043-80292,2
1043-80294,1
1043-80296,2
1043-80299,2
1043-90501,1
1043-90502,1
1043-90503,2
1043-90504,2
1043-90505,2
1043-90506,2
1043-90507,2
1043-90508,1
1043-90509,1
1043-90510,2
1043-90511,2
1043-90512,1
1043-90513,1
1043-90514,2
1043-90515,1
1043-90516,2
1043-90517,2
1043-90518,1
1043-90519,2
1043-90520,1
1043-90521,1
1043-90522,2
1043-90523,1
1043-90524,2
1043-90525,2
1043-90526,2
1043-90527,2
1043-90528,2
1043-90529,1
1043-90530,1
1043-90531,2
1043-90532,1
1043-90533,2
1043-90534,1
1043-90535,1
1043-90536,1
1043-90537,2
1043-90538,2
1043-90539,2
1043-90540,1
1043-90541,2
1043-90542,1
1043-90543,2
1043-90545,1
1043-90546,2
1043-90547,2
1043-90548,1
1043-90549,1
1043-90550,2
1043-90551,1
1043-90552,1
1043-90553,2
1043-90554,1
1043-90555,2
1043-90556,1
1043-90557,2
1043-90558,1
1043-90559,2
1043-90560,1
1043-90561,1
1043-90561.1,2
1043-90562,2
1043-90563,1
1043-90564,2
1043-90565,1
1043-90566,2
1043-90567,2
1043-90568,1
1043-90569,2
1043-90570,2
1043-90571,2
1043-90572,1
1043-90573,2
1043-90574,2
1043-90575,2
